Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AGO,CAIT,Agriculture ,All GHG,30.1384341,30.2213149,30.323009,30.1935573,30.1676386,30.058044,27.1900151,26.8233076,29.6625038,27.502956,28.3510075,28.9685835,31.1780548,35.5706266,35.6934099,35.2805784,32.5979345,34.8015412,33.024603,33.1492326,34.7889833,35.8723278,34.073007,35.0811454,33.9384907,35.1421925,35.6828881,36.354652,32.5697734
AGO,CAIT,Waste ,All GHG,0.525987106,0.544228698,0.56247029,0.580711881,0.598953473,0.617195065,0.640210052,0.663225039,0.686240026,0.709255013,0.73227,0.803364,0.874458,0.945552,1.016646,1.08774,1.136174351,1.184608702,1.233043054,1.281477405,1.329911756,1.380861231,1.431810706,1.482760181,1.533709656,1.584659131,1.640316415,1.695973699,1.751630982
AGO,CAIT,Land-Use Change and Forestry ,All GHG,23.00352308,23.00352308,23.00352308,23.00352308,23.00352308,23.00169388,26.84858317,25.06000535,30.21739728,28.87137665,23.69481532,43.76308407,44.95646748,45.86303502,47.17511467,47.90835753,46.90911241,47.00648937,47.30031398,48.65504247,49.23151171,47.50090685,48.27822913,47.00326323,47.5163704,48.46773268,47.61088552,50.13426402,44.86281378
AGO,CAIT,Bunker Fuels ,All GHG,1.056,0.911,0.835,0.937,1.339,1.208,1.055,1.062,0.679,1.193,1.432,1.55,1.333,0.798,1.298,0.907,0.812,1.216,1.308,1.191,1.549,1.381,2.165,1.911,2.494,2.564,2.023,2.02,2.082
AGO,CAIT,Electricity/Heat ,All GHG,0.478,0.436,0.372,0.308,0.38,0.38,0.408,0.633,0.587,0.845,0.937,1.037,1.045,1.222,0.858,0.975,1.068,1.185,1.591,2.464,2.61,2.446,2.926,4.333,5.997,6.425,6.684,7.235,7.122
AGO,CAIT,Manufacturing/Construction ,All GHG,1.765,1.629,1.713,2.191,1.628,1.796,1.885,1.737,1.299,1.481,1.573,1.617,1.776,1.832,2.102,1.716,1.956,2.267,2.093,2.185,2.35,2.439,2.228,1.632,1.491,2.217,2.492,1.391,1.405
AGO,CAIT,Transportation ,All GHG,1.017,1.257,1.187,1.212,1.541,1.071,0.988,1.052,0.834,1.157,1.074,1.204,1.481,2.754,3.453,2.477,3.293,3.896,5.204,5.757,6.478,7.17,6.741,7.699,7.939,7.983,7.913,6.721,7.005
AGO,CAIT,Building,All GHG,0.635,0.672,0.605,0.505,0.623,0.661,0.905,0.908,0.998,1.251,1.046,1.171,1.191,1.248,1.288,0.966,1.916,2.278,2.898,3.427,3.672,4.045,4.503,5.569,5.427,4.857,4.326,3.495,3.24
AGO,CAIT,Other Fuel Combustion ,All GHG,0.255067333,0.254258087,0.257448841,0.263639595,0.27283035,0.278021104,0.286380327,0.291739551,0.312098774,0.314457997,0.316817221,0.339879156,0.36894109,0.392003025,0.42106496,0.441126894,0.48852538,0.534923865,0.58132235,0.628720835,0.673119321,0.705150483,0.740181645,0.776212808,0.80824397,0.827275132,0.830108055,0.826940979,0.832773902
AGO,CAIT,Fugitive Emissions ,All GHG,7.251033137,7.714229329,8.013305522,8.585915049,8.775577908,13.5058941,14.04158061,14.41314713,14.83942031,15.37510682,15.41843333,16.29268333,17.38576,21.05005,22.52607333,23.67385667,24.98009652,28.0369497,28.63200288,29.93824273,31.46330925,31.20130423,31.4316592,30.78670751,30.57940915,30.26500746,30.36238196,28.11241146,24.41792096
AGO,CAIT,Total excluding LUCF,CO2,6.32528,6.525593333,6.365786667,6.899413333,6.687093333,10.77850667,11.41456667,11.73238667,11.37191333,12.64941333,12.37219333,12.91403333,13.61966,18.0118,19.28687333,18.21160667,20.33590667,23.48562,25.08393333,27.14823333,28.53176,29.46435333,30.24720667,32.81505333,34.62935333,35.15925,35.40838,30.840165,27.33543
AGO,CAIT,Total including LUCF,CO2,16.5988252,16.79913853,16.63933187,17.17295853,16.96063853,21.05022267,21.68445307,22.00299847,21.64728603,22.93751133,22.67097393,48.53302063,49.2386473,53.6289149,54.90401903,53.82390767,55.94640157,59.0961149,60.69181843,62.75429853,64.1372201,65.06850903,65.85136237,68.41920903,70.23198763,70.7603071,71.0060007,66.4377857,62.9275129
AGO,CAIT,Energy ,CO2,6.22168,6.420093333,6.242386667,6.797213333,6.589093333,10.69762667,11.30386667,11.60898667,11.22781333,12.56605333,12.29193333,12.69093333,13.37976,17.7328,18.98557333,17.68910667,19.79510667,22.94472,24.39953333,26.45353333,27.95336,28.89165333,29.63330667,32.03765333,33.66165333,34.17255,34.46068,29.889465,26.38573
AGO,CAIT,Industrial Processes ,CO2,0.1056,0.1055,0.1234,0.1022,0.099,0.08088,0.1107,0.1224,0.1431,0.08336,0.08026,0.2221,0.2389,0.279,0.3013,0.5215,0.5398,0.5409,0.6844,0.6937,0.5784,0.5737,0.6129,0.7784,0.9687,0.9877,0.9497,0.9497,0.9497
AGO,CAIT,Land-Use Change and Forestry ,CO2,10.2735452,10.2735452,10.2735452,10.2735452,10.2735452,10.271716,10.2698864,10.2706118,10.2753727,10.288098,10.2987806,35.6189873,35.6189873,35.6171149,35.6171457,35.612301,35.6104949,35.6104949,35.6078851,35.6060652,35.6054601,35.6041557,35.6041557,35.6041557,35.6026343,35.6010571,35.5976207,35.5976207,35.5920829
AGO,CAIT,Bunker Fuels ,CO2,1.056,0.911,0.835,0.937,1.339,1.208,1.055,1.062,0.679,1.193,1.432,1.55,1.333,0.798,1.298,0.907,0.812,1.216,1.308,1.191,1.549,1.381,2.165,1.911,2.494,2.564,2.023,2.02,2.082
AGO,CAIT,Electricity/Heat ,CO2,0.478,0.436,0.372,0.308,0.38,0.38,0.408,0.633,0.587,0.845,0.937,1.037,1.045,1.222,0.858,0.975,1.068,1.185,1.591,2.464,2.61,2.446,2.926,4.333,5.997,6.425,6.684,7.235,7.122
AGO,CAIT,Manufacturing/Construction ,CO2,1.765,1.629,1.713,2.191,1.628,1.796,1.885,1.737,1.299,1.481,1.573,1.617,1.776,1.832,2.102,1.716,1.956,2.267,2.093,2.185,2.35,2.439,2.228,1.632,1.491,2.217,2.492,1.391,1.405
AGO,CAIT,Transportation ,CO2,1.017,1.257,1.187,1.212,1.541,1.071,0.988,1.052,0.834,1.157,1.074,1.204,1.481,2.754,3.453,2.477,3.293,3.896,5.204,5.757,6.478,7.17,6.741,7.699,7.939,7.983,7.913,6.721,7.005
AGO,CAIT,Building,CO2,0.635,0.672,0.605,0.505,0.623,0.661,0.905,0.908,0.998,1.251,1.046,1.171,1.191,1.248,1.288,0.966,1.916,2.278,2.898,3.427,3.672,4.045,4.503,5.569,5.427,4.857,4.326,3.495,3.24
AGO,CAIT,Other Fuel Combustion ,CO2,0.029,0.019,0.013,0.01,0.01,0.006,0.006,0.003,0.015,0.009,0.003,0.003,0.009,0.009,0.015,0.012,0.019,0.025,0.031,0.038,0.042,0.045,0.051,0.058,0.061,0.051,0.045,0.033,0.03
AGO,CAIT,Fugitive Emissions ,CO2,2.29768,2.407093333,2.352386667,2.571213333,2.407093333,6.783626667,7.111866667,7.275986667,7.494813333,7.823053333,7.658933333,7.658933333,7.87776,10.6678,11.26957333,11.54310667,11.54310667,13.29372,12.58253333,12.58253333,12.80136,12.74665333,13.18430667,12.74665333,12.74665333,12.63955,13.00068,11.014465,7.58373
AGO,CAIT,Total excluding LUCF,CH4,20.60600159,21.03343667,21.46937424,21.77238682,22.17565439,22.45674447,21.36319379,21.46891311,23.12830493,22.32806175,23.00024107,24.24250874,26.2210839,29.27911657,30.25974673,31.1063469,31.18207511,33.61486831,34.15797402,35.58986473,37.72983294,38.10274678,37.10641813,37.42370447,36.70164832,37.18147967,37.39977234,37.45497752,35.5202352
