code,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
IRL,Ireland,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,energy,MtCO2eq,294.0377243,311.4136056,333.2006214,336.8332037,322.4331488,347.7668196,338.1639175,343.9402028,359.8635119,361.2754026,351.8598026,347.0849281,342.2290366,348.1948368,348.3373633,349.9038571,369.8124992,374.1743952,392.3776795,397.2868626,396.5149241,394.2077056,391.3757029,387.055996,410.0993381,407.2745487,410.5672436,421.4021064,427.4606109,430.2748394,429.9469234,437.3348051,456.4137526,465.9564219,468.2257469,461.0423691,453.8252365,441.5507618,395.6091004,404.1954768,395.0943572,378.0884721,348.5662286,329.3485306,340.3641804,336.1516623,332.2729311,327.7656487,319.9552123,290.5302444
LVA,Latvia,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,Lithuania,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,Netherlands,energy,MtCO2eq,128.9277845,143.8625363,149.8513829,141.4972821,133.3586534,142.2228187,140.0089622,144.5082242,154.690758,146.9100451,144.7137331,136.2771729,131.9202382,136.7498407,139.8760564,143.1138186,146.9628284,144.7865564,148.0390565,149.5040881,155.5953626,154.4031997,159.3342022,158.4307961,165.3506941,175.0732318,167.6536871,168.0210792,162.6237681,163.3210245,168.3813556,168.710541,171.710635,173.5136665,169.3321513,165.1476939,166.0381604,166.7791475,162.0140908,172.7653654,160.3819207,159.1039216,158.7429831,151.3291893,158.9528914,160.081513,157.2473139,152.9427878,148.1442919,136.5519094
NOR,Norway,energy,MtCO2eq,23.50676803,24.9818047,24.77469314,24.14022987,24.92602345,26.77890836,28.33274454,28.05248713,30.06282369,28.99778917,26.68031342,25.68084363,25.84438653,26.41307837,27.87726318,31.12442099,29.44128746,29.40299691,29.18429625,29.80857568,27.90415644,30.7998446,32.92821926,35.02893962,35.05283999,35.37710257,37.29681798,38.64752739,40.49055072,35.1327364,35.60142231,35.24980806,38.03595877,38.36819983,37.27608055,38.03466409,38.46295808,37.64541405,38.16884814,42.24565632,40.35211182,39.25906861,40.20561653,39.78673512,40.2670515,39.57447829,38.47088464,38.31708105,36.63971881,37.96432167
POL,Poland,energy,MtCO2eq,293.3319017,305.6703233,319.0300138,331.6834978,345.7053083,369.845306,382.4598725,407.9985142,413.9086716,424.0855498,393.5414428,399.9686186,401.6717506,417.43207,430.6030357,436.8092633,452.8427622,441.8537012,421.9425192,350.5184444,352.7546621,344.3915259,346.8683189,340.6023739,340.8857697,356.92643,345.2107392,318.6824887,309.4259196,295.6387767,294.922368,288.9517931,299.5905512,303.475796,303.263305,315.551654,313.5254103,309.0946941,299.0574676,315.7945223,311.193002,305.0721105,300.3799733,286.8256773,290.3321669,301.1650653,313.9677898,312.2926923,295.0414383,275.1071453
PRT,Portugal,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,Slovak Republic,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,13.80932717,13.01934623,12.71023343,13.54225107,13.50024807,14.35531102,15.15448414,15.58900774,15.33082446,14.72733199,14.43088247,15.2947068,15.45996084,15.35658779,15.61395155,15.85940165,16.18940988,16.18381262,17.22587965,15.51336318,15.85727091,15.82827376,15.23131753,14.57983288,13.06946542,13.16739997,13.96295315,14.11277377,14.01301514,13.504013,12.13179122
ESP,Spain,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,Sweden,energy,MtCO2eq,83.12795207,83.25037227,84.77833729,77.63945647,80.2086465,87.0917078,84.14718939,78.86086208,81.42754758,74.43274112,67.53944765,61.77412173,56.27487505,55.44356716,59.89173713,61.38347472,59.5284055,57.09960867,54.27875208,53.53587822,54.57622976,57.17405373,56.94258072,58.93438244,58.55061042,64.10401665,57.93659234,58.88054074,57.7061967,53.65590166,52.76427829,54.35874963,55.65822505,53.99157419,50.51130799,49.10080246,47.47914312,46.42745805,43.3013892,48.61264514,45.10427973,42.59810311,41.00035484,39.53067694,39.55039028,39.1958594,38.84891926,36.38443478,35.62892998,34.06630089
CHE,Switzerland,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,energy,MtCO2eq,632.2890739,614.2578609,647.862499,610.0126261,591.7020433,598.3623044,610.6082206,611.428512,649.7476802,591.7393955,575.4156271,562.495036,554.1082866,536.2869902,562.8825996,576.6611053,580.9109618,579.2368297,564.743077,567.2605528,577.7606711,565.4704975,549.5437551,543.4733202,535.3577732,554.3807974,532.5746682,534.4211288,532.0066997,540.0357898,554.4712214,539.6322208,551.5335029,550.7644238,547.8446219,548.3991248,536.2850846,521.8408218,473.7294955,489.4663851,451.1443801,473.3599247,458.9487101,420.4703602,406.0497784,385.8333963,372.0987438,366.172397,354.3336741,317.5237859
